"Year","Harvest","EstAbundance"
1,0,526996
2,0,490994
3,0,NA
4,0,NA
5,0,NA
6,0,NA
7,0,478311
8,0,NA
9,0,554072
10,0,NA
11,0,NA
12,0,NA
13,0,NA
14,0,552859
15,0,NA
16,0,NA
17,0,504099
18,0,NA
19,0,NA
20,0,NA
21,34621,NA
22,22535,NA
23,27137,413852
24,31208,NA
25,36603,NA
26,31487,418667
27,29350,NA
28,33230,NA
29,34357,397964
30,24290,NA
31,31548,NA
32,29569,NA
33,33840,NA
34,35476,NA
35,42605,383202
36,34589,296174
37,37002,348154
38,23726,NA
39,23285,293345
40,30219,NA
41,36516,NA
42,23264,NA
43,35293,NA
44,35353,NA
45,36558,NA
46,31412,NA
47,31337,NA
48,36923,NA
49,30862,264807
50,26099,NA
51,22972,NA
52,35215,314059
53,38571,245465
54,32594,NA
55,23744,NA
56,34052,NA
57,36607,NA
58,28437,199422
59,32278,NA
60,30123,NA
61,31123,184376
62,32640,206795
63,39866,NA
64,33883,NA
65,30712,NA
66,37946,NA
67,32269,NA
68,23584,133587
69,20893,147502
70,24776,NA
71,0,158090
72,0,NA
73,0,NA
74,0,NA
75,0,NA
76,0,NA
77,0,NA
78,0,NA
79,0,349053
80,0,NA
81,0,NA
82,0,NA
83,0,434842
84,0,420825
85,0,NA
86,0,NA
87,0,NA
88,0,399003
89,0,NA
90,0,518044
91,0,462535
92,0,NA
93,0,NA
94,0,554173
95,0,NA
96,0,523902
97,0,500585
98,0,471055
99,0,NA
100,0,533843
101,0,NA
102,0,NA
103,0,555439
104,0,NA
105,0,NA
106,0,473949
107,0,566886
108,0,NA
109,0,NA
110,0,NA
111,0,NA
112,0,NA
113,0,498576
114,0,NA
115,0,561628
116,0,NA
117,0,NA
118,0,504204
119,0,NA
120,0,513187
