"Spawners","Recruits"
20000,63856.9876594737
62347.4903314248,197686.711892992
188933.99051206,436156.716786315
406262.851302207,468434.626536972
425439.432953468,360207.437454333
324162.262206842,530992.256969119
459161.933609403,423908.363292976
360130.84717015,232020.324829497
189777.218685394,240783.781346225
193436.418764669,372458.974546607
302787.823518303,236921.028852963
183086.037175688,230717.050339269
171670.317454929,440233.180465086
334378.627179858,327080.98772826
231199.728195447,285485.152176126
198851.849484608,494557.119361873
338728.893495981,463604.041982292
319294.668792994,308672.985135414
201502.236981456,544368.936131662
352930.319768641,606302.847454693
386327.791918888,514254.428891127
314868.497248645,522854.084626615
311255.156184881,375306.81486596
228017.331170691,550647.188094174
318078.835532963,793860.179153518
452944.168316234,505506.510810888
270920.012734221,739670.104704009
385424.624853705,667850.413338584
347069.719893442,411034.612747361
205854.132631011,316446.551469076
156641.55106124,431985.091999789
224826.132900158,372035.372322073
166948.535032676,407043.328448473
200757.837469119,315382.923683024
145920.03838928,373064.663945915
170031.390931101,426657.452295559
180300.005122878,442367.895099969
184180.409432132,444000.809161027
198926.871720456,309037.028434741
