Year,Catch,Effort,MarkRecapAbundance
1,4279.567143,50,
2,11524.86755,100,
3,13487.47389,150,
4,15205.38866,200,
5,19321.56389,250,
6,18022.21341,300,139248.3618
7,19014.32424,350,118130.3785
8,25583.04864,400,148735.8005
9,27302.92611,450,
10,23522.79004,500,
11,23578.46205,550,
12,25711.92657,600,
13,23735.4639,650,
14,21163.2862,700,
15,21446.98864,750,
16,17733.21643,750,
17,14699.70971,750,
18,11791.40801,750,
19,11405.36136,750,
20,8603.799278,750,
21,7012.931334,750,
22,6964.151208,750,
23,6801.408125,750,
24,5819.644749,750,
25,4359.181364,750,
26,4010.881589,750,
27,3900.937535,750,
28,3600.468334,750,
29,3496.734053,750,
30,3461.331974,750,
31,3454.246497,750,
32,2880.549185,750,
33,2864.806869,750,9153.844656
34,2803.74296,750,8938.676224
35,2520.085746,750,7727.241781
36,2335.379056,750,7007.852279
37,2492.412432,750,8557.368865
38,2582.34713,700,
39,2282.44879,650,
40,1981.638329,600,
41,1946.81909,550,
42,1469.92116,500,
43,1616.768169,450,
44,1622.572054,400,
45,1512.905321,350,
46,1523.821571,300,
47,1744.333313,300,
48,1871.538079,300,
49,2149.292518,300,
50,2164.542027,300,
51,2087.888097,300,
52,2248.548464,300,
53,2072.206861,300,
54,2394.720146,300,
55,2744.68161,300,
56,3340.658113,300,
57,3312.208246,300,
58,3447.634755,300,
59,4068.907513,300,
60,4109.26346,300,
61,4356.286262,300,
62,4414.932373,300,
63,4777.662096,300,
64,4107.071559,300,
65,4657.138373,300,
66,6106.602429,300,
67,6722.17944,300,
68,6785.348104,300,
69,6800.959321,300,
70,6724.032227,300,
71,8059.665554,300,
72,7674.426326,300,
73,9715.957683,300,
74,11330.05102,300,
75,11539.65289,300,
76,11474.73597,300,
77,10981.39794,300,
78,13012.76466,300,
79,12582.04104,300,
80,12427.92399,300,
81,11806.85497,300,
82,11591.77838,300,
83,12308.93547,300,
84,13586.12315,300,
85,13697.56541,300,110508.5453
86,12359.76607,300,104063.6833
87,12237.64174,300,92814.04811
88,13257.50222,300,97252.08386
89,11728.57389,300,94049.16757
90,11733.1317,300,91475.24172
91,12705.57062,300,93332.7128
92,13154.11598,300,94691.79624
93,12612.66207,300,90838.92046
94,13527.67276,300,104947.8412
95,15096.46792,300,117519.2324
96,13757.95455,300,118119.8897
97,15706.98591,300,120602.7135
98,11602.94142,300,76111.77822
99,13387.11727,300,102893.9348
100,11406.77257,300,79358.901
