Year,Catch,Effort,MarkRecapAbundance
1,4279.567143,50,200805.1531
2,11524.86755,100,274165.642
3,13487.47389,150,216968.5326
4,15205.38866,200,166032.4494
5,19321.56389,250,215691.2777
6,18022.21341,300,166759.6169
7,19014.32424,350,132626.4907
8,25583.04864,400,130199.3099
9,27302.92611,450,163796.4247
10,23522.79004,500,114837.1281
11,23578.46205,550,100603.2651
12,25711.92657,600,114404.0889
13,23735.4639,650,86966.21313
14,21163.2862,700,63000.90635
15,21446.98864,750,77353.60054
16,17733.21643,750,55293.96327
17,14699.70971,750,54164.12363
18,11791.40801,750,31358.59082
19,11405.36136,750,40322.37281
20,8603.799278,750,28520.56541
21,7012.931334,750,22155.77293
22,6964.151208,750,21568.73395
23,6801.408125,750,24150.42893
24,5819.644749,750,17333.33676
25,4359.181364,750,14792.55452
26,4010.881589,750,12127.45977
27,3900.937535,750,14376.04272
28,3600.468334,750,10698.24997
29,3496.734053,750,9521.14236
30,3461.331974,750,9824.632945
31,3454.246497,750,10534.91876
32,2880.549185,750,10940.39919
33,2864.806869,750,9154.655232
34,2803.74296,750,7564.459908
35,2520.085746,750,7583.266971
36,2335.379056,750,7378.61942
37,2492.412432,750,8268.04948
38,2582.34713,700,8269.846967
39,2282.44879,650,8455.741516
40,1981.638329,600,8181.540058
41,1946.81909,550,8052.45713
42,1469.92116,500,6443.331856
43,1616.768169,450,8383.171562
44,1622.572054,400,8800.543764
45,1512.905321,350,11120.55126
46,1523.821571,300,13142.60804
47,1744.333313,300,13073.45069
48,1871.538079,300,15694.78167
49,2149.292518,300,18417.9438
50,2164.542027,300,15629.63298
51,2087.888097,300,17091.25242
52,2248.548464,300,15065.15539
53,2072.206861,300,18231.81497
54,2394.720146,300,18802.64836
55,2744.68161,300,18578.84448
56,3340.658113,300,27646.24906
57,3312.208246,300,27827.54308
58,3447.634755,300,25230.04252
59,4068.907513,300,35219.7871
60,4109.26346,300,31451.25854
61,4356.286262,300,29771.56159
62,4414.932373,300,35325.2062
63,4777.662096,300,43024.00797
64,4107.071559,300,37628.71186
65,4657.138373,300,29305.64087
66,6106.602429,300,54613.82472
67,6722.17944,300,47763.3667
68,6785.348104,300,61906.96397
69,6800.959321,300,63246.76244
70,6724.032227,300,45331.65468
71,8059.665554,300,62342.33211
72,7674.426326,300,54796.20164
73,9715.957683,300,66842.38122
74,11330.05102,300,83123.38209
75,11539.65289,300,93904.73938
76,11474.73597,300,92818.01575
77,10981.39794,300,87616.09006
78,13012.76466,300,94036.14167
79,12582.04104,300,99974.87212
80,12427.92399,300,88715.44647
81,11806.85497,300,77537.83214
82,11591.77838,300,99470.40113
83,12308.93547,300,98491.07579
84,13586.12315,300,115959.7917
85,13697.56541,300,110508.5453
86,12359.76607,300,104063.6833
87,12237.64174,300,92814.04811
88,13257.50222,300,97252.08386
89,11728.57389,300,94049.16757
90,11733.1317,300,91475.24172
91,12705.57062,300,93332.7128
92,13154.11598,300,94691.79624
93,12612.66207,300,90838.92046
94,13527.67276,300,104947.8412
95,15096.46792,300,117519.2324
96,13757.95455,300,118119.8897
97,15706.98591,300,120602.7135
98,11602.94142,300,76111.77822
99,13387.11727,300,102893.9348
100,11406.77257,300,79358.901
